Factor,Eigenvalue,Strong_Items,Cross_Loadings,Constructs,Quality
F1,3.1783981281417937,4,2,"['HM', 'PE', 'PV']",★★ RETAIN (minor cross-loading)
F2,1.568215535291993,3,1,"['AX', 'ER']",★★ RETAIN (minor cross-loading)
F3,1.4888873721461318,1,0,['FC'],"★ CONSIDER (single-item, clean)"
F4,1.3225507901097426,1,0,['EE'],"★ CONSIDER (single-item, clean)"
F5,1.1074918773976354,1,0,['EX'],"★ CONSIDER (single-item, clean)"
F6,1.0725726939164009,2,2,['TR'],★★ RETAIN (minor cross-loading)
F7,1.0700100743523384,2,0,['HB'],"★★★ RETAIN (clean, multi-item)"
F8,1.0309454082586986,2,1,['SI'],★★ RETAIN (minor cross-loading)
F9,0.9016473919587733,1,0,['VO'],"★ CONSIDER (single-item, clean)"
F10,0.8316534554597873,1,0,['PE'],"★ CONSIDER (single-item, clean)"
F11,0.7869419046761179,1,0,['VO'],"★ CONSIDER (single-item, clean)"
F12,0.7639983641233631,1,0,['EE'],"★ CONSIDER (single-item, clean)"
